que_id,que_q,que_a
43,自学考试的主考学校是什么？,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
44,自学考试的主考学校,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
45,什么是自学考试的主考学校,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
46,自学考试的主考学校负责什么,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
47,自学考试的主考学校作用,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
48,自学考试的主考学校是做什么的,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
49,自学考试的主考学校负责内容,依据《高等教育自学考试暂行条例》规定，主考学校是担负部分自学考试职责的普通高等学校，由各省、市、自治区高等教育自学考试委员会（以下简称省考委）遴选并接受省考委的领导，协助省级教育考试机构开展专业和课程等相关的自学考试工作，包括参与课程设置及课程考试标准制定、参与命题和评卷、负责有关实践性学习环节的考核、在自学考试毕业证书上副署等。
50,广东省自学考试有哪些主考学校？,可在广东自学考试管理系统—考生入口—公开查询—主考院校查询。亦可在广东省教育考试院官网查询相关文件（建议使用关键词“主考学校”）。
51,广东省自学考试主考学校名单,可在广东自学考试管理系统—考生入口—公开查询—主考院校查询。亦可在广东省教育考试院官网查询相关文件（建议使用关键词“主考学校”）。
52,广东省自学考试主考学校有哪些,可在广东自学考试管理系统—考生入口—公开查询—主考院校查询。亦可在广东省教育考试院官网查询相关文件（建议使用关键词“主考学校”）。
53,广东省自学考试的主考学校都有哪些？,可在广东自学考试管理系统—考生入口—公开查询—主考院校查询。亦可在广东省教育考试院官网查询相关文件（建议使用关键词“主考学校”）。
